,Property,Measurement,pH,Temperature (Â°C),References
0,IC 50 (nM),0.6,,,10743948
1,IC 50 (nM),100.0,,,15958589 / 18680271
2,IC 50 (nM),140.0,,,17850214
3,IC 50 (nM),220.0,,,21417417
4,IC 50 (nM),220.0,7.5,30.0,19128055
5,IC 50 (nM),370.0,7.2,22.0,18656911
6,IC 50 (nM),400.0,7.2,30.0,15985434
7,IC 50 (nM),4600.0,,,19846305 / 19854650
8,IC 50 (nM),520.0,,,19846305 / 19854650
9,IC 50 (nM),700.0,,,16584130 / 18313174 / 21144757
10,Kd (nM),2900.0,,,15711537
11,Kd (nM),3400.0,,,18183025
12,Kd (nM),3400000.0,,,
13,Ki (nM),250.0,,,12534346
